word,definition,usage_context,is_slang
glowstick,A person who brings positive energy and brightness to any social gathering.,"Mia is such a glowstick, she really brightened up the whole party. | Whenever Jake walks into a room, he’s like a human glowstick, everyone gets happier.",reuse
vibecast,A curated playlist meant to elevate mood and energy.,"This morning, I put on my vibecast to shake off the Monday blues. | Need a mood boost? Check out my new vibecast on the streaming app.",coinage
yeetfleet,A group of people who enthusiastically gather to enthusiastically undertake spontaneous or risky adventures.,"Our yeetfleet decided to head for an unplanned road trip to the mountains last weekend. | He's part of the yeetfleet, always ready for a spontaneous hike.",coinage
snaccident,The accidental consumption of a snack intended for later.,I had a snaccident and finished the chips I was saving for movie night. | Be careful or you'll end up in a snaccident like I did last week with that cake.,coinage
textpectation,The anticipation felt when waiting for a reply to a text message.,The textpectation is killing me; why haven’t they replied yet? | She couldn't concentrate at work due to the overwhelming textpectation.,coinage
phonetennial,A friend who only reaches out or remembers you on major milestones.,"Oh look, it's my phonetennial, Joe texted me after six months! | She doesn't really message unless it's a phonetennial moment.",coinage
screengrabber,Someone who captures every meaningful or funny moment on their phone.,"Whenever we’re out, Sam turns into a screengrabber, capturing every moment. | You need a screengrabber around to never miss a photo op at a party.",coinage
gigglejuice,Alcoholic drinks that make you giggle or feel particularly cheerful.,"After two glasses of gigglejuice, the whole table was laughing uncontrollably. | That cocktail is definitely a gigglejuice, you'll be in stitches all night.",coinage
cloudspanner,Someone who can devise solutions in abstract or digital spaces.,Call Tim; he's our go-to cloudspanner when we hit a tech wall. | We needed a creative cloudspanner for the project's digital solutions.,coinage
binge-booking,The act of planning and booking multiple events or activities to enjoy consecutively.,"I've been binge-booking activities for my vacation next month. | Stop binge-booking events, or we'll end up with clashing schedules!",coinage
fluffle,"A cozy group of cute or fluffy things gathered together, especially animals.",The fluffle of kittens was too cute to handle. | Nothing beats a fluffle of bunnies in the morning to lift your spirits.,coinage
doomscroll,The act of endlessly scrolling through bad news on social media or the internet.,"I lost two hours to doomscroll on Twitter last night. | To break the cycle, I've installed an app to curb my doomscroll habit.",reuse
jugglework,The complex and often overwhelming act of balancing multiple projects or tasks at work.,"Working in marketing means constant jugglework, especially during campaigns. | She manages her jugglework skillfully, balancing three roles seamlessly.",coinage
techtime,Quality time spent in front of a screen either for relaxation or productivity.,We've scheduled techtime to catch up on some documentaries this weekend. | Let’s have a techtime session to binge some classics.,coinage
cringeflash,The sudden rush of secondhand embarrassment when recalling awkward moments.,"I experienced a cringeflash when I remembered my failed public speech in high school. | Every time that song plays, I get a cringeflash of my awkward dance moves.",coinage
gigawow,"A feeling of immense astonishment or excitement, often digital or tech-related.","That new smartphone feature is a gigawow, everyone was impressed. | Her presentation left the board in a gigawow moment.",coinage
social-butterfry,A social butterfly who navigates seamlessly between various groups.,"Emma is the social-butterfry of the office, flitting between teams effortlessly. | Being a social-butterfry, Alex rarely misses any social events.",coinage
ghostslip,When a person accidentally stops responding to messages.,"Sorry, I didn't mean to ghostslip; my phone was on silent all day. | John’s notorious for ghostslips, especially on group chats.",coinage
drizzlefit,A light and sporadic bout of tears.,"Her drizzlefit was over in seconds, but we all needed a good cry. | He tends to have a drizzlefit during emotional movies.",coinage
mind-surf,Engaging in mental activities or daydreaming without a specific direction.,I often find myself mind-surfing during lectures. | Taking a break to mind-surf can sometimes spark the best ideas.,coinage
brainboard,A mental map used to organize and navigate through thoughts.,I need to update my brainboard to prepare for the project meeting tomorrow.,coinage
chillipuff,A person who exudes an easygoing yet flashy demeanor.,Have you seen Jason at the party? He's the real chillipuff of the group.,coinage
zoomout,The act of mentally checking out during a virtual meeting.,I totally had to zoomout during the last 30 minutes of that call.,coinage
squeakmode,The mindset one has when feeling excessively joyful or hyped.,"After getting his dream job, Ben's been in full squeakmode all week.",coinage
fin-fluence,Influence exerted through financial literacy or advice.,Sarah is gaining serious fin-fluence on social media with her budgeting tips.,coinage
driftday,A spontaneous day-off taken for personal renewal and refreshment.,"After a stressful week, Jane decided to have a driftday to recharge.",coinage
screenbump,Accidentally bumping into someone due to texting while walking.,"Watch out, you're about to cause a screenbump!",coinage
dotdash,A minimalistic approach to communication using dots and dashes.,"He's so concise, it's like he's communicating in dotdash.",coinage
wheelflex,Displaying fancy car skills in a casual setting.,Chris loves to wheelflex whenever he takes his new car out.,coinage
envygen,An action or thought that generates envy in others.,The design he showed generated a lot of envygen among his peers.,coinage
syncsink,A metaphorical drain where all synchronized efforts seem to fail.,We've hit a syncsink; none of the updates are aligning today.,coinage
pocketquake,"A sudden, noticeable phone notification.","My phone gave me a pocketquake while I was in class, scared me!",coinage
happywave,A period of consistent happiness and optimism.,"The project was tough, but now I'm riding a happywave.",coinage
mindtune,Adjusting one's mindset for better clarity or focus.,"After meditating, she managed to find a perfect mindtune.",coinage
cloudfuse,The merging of different digital data environments seamlessly.,"Their team managed to cloudfuse the databases, making access smoother.",coinage
gridglow,The inspired glow you get after finishing a complex task.,Completing that report has left me with a gridglow I can't shake off.,coinage
thinkquake,An abrupt realization or insight during a meeting.,"His comment during the meeting was a total thinkquake, sparking fresh ideas.",coinage
pagezap,Rapidly browsing through online content.,I went on a pagezap spree last night and found some great content.,coinage
moodbounce,"A quick shift in emotional state, typically uplifted.",Listening to that song just gives me a moodbounce every time!,coinage
snapdraft,An incomplete and quickly formed idea or plan.,"The concept is still a snapdraft, but it has potential!",coinage
cloudsplash,"The digital chaos and overwhelming information hitting you all at once, like a virtual waterfall.",I experienced such a cloudsplash when I opened my social media feeds today. | Her inbox was a total cloudsplash with emails flooding in nonstop.,coinage
siproll,"Scrolling mindlessly while sipping your favorite drink, especially on social media.",He tends to siproll through Instagram while enjoying his morning coffee. | I caught myself in a siproll last night and lost track of time.,coinage
clicksnap,"A quick succession of snaps or photos, typically without much planning or purpose.","I had a clicksnap moment at the party with dozens of random photos taken. | She got into clicksnap mode during the vacation, snapping everything she saw.",coinage
choogoo,Expressing excitement or happiness through a cheeky or playful smile.,His choogoo when he saw the puppies was contagious to everyone around. | They shared a choogoo at the thought of their upcoming adventure.,coinage
twinklegrin,"An impromptu, charming smile that lights up one's face in a heartwarming way.","His face lit up with a twinklegrin when he saw her. | Every time she laughs, a twinklegrin emerges, brightening the room.",coinage
