word,definition,usage_context,is_slang
keyboard warrior,"Someone who aggressively argues online, often from the safety of anonymity.",Tom is such a keyboard warrior; he always has strong opinions online but never in person. | Don't be a keyboard warrior and start arguments you wouldn't have in real life.,reuse
elbow grease,Extra effort or energy to get something done.,"To fix that old engine, you'll need a lot of elbow grease. | We’ll get this done, but it might take some elbow grease.",reuse
jam jar,A tight-knit and often competitive group or community.,"The local gaming community is like a jam jar, tightly-knit and full of competition. | Joining their band felt like stepping into a jam jar, everyone was already so in sync.",reuse
tick tock,being on borrowed time or nearing a deadline,"My assignment's due in an hour, it's tick tock time! | With the deadline looming, it's all tick tock.",reuse
moonshot,"an ambitious, often improbable goal",Her dream of starting a space company is a real moonshot. | He proposed a moonshot idea to revolutionize the market.,reuse
brain freeze,a sudden mental block or forgetfulness,I experienced a brain freeze during the exam and forgot everything. | Her brain freeze left her speechless mid-presentation.,reuse
biscuit,A particularly enjoyable or pleasant person.,"She's such a biscuit, everyone loves having her around.",reuse
bubble brains,"Having a momentary lapse in concentration or forgetfulness, typically involving simple tasks.",I went into bubble brains mode and forgot my phone password.,reuse
gravity boots,Items that metaphorically keep you grounded.,I need my gravity boots to get through this stressful week. | Reading is one of my gravity boots; it keeps me sane.,reuse
spark plug,A source of inspiration or sudden motivation.,"She's a spark plug, always coming up with new projects. | Looking for a spark plug to kickstart this campaign.",reuse
toaster,a simple task made overly complicated,"I was just trying to fix my phone, but it turned into a total toaster. | He made ordering coffee sound like a toaster process.",reuse
fluff,an elaborate lie or exaggeration,His story about catching a fish with his bare hands was just fluff. | Don't believe everything she says; she tends to add a lot of fluff.,reuse
paint job,a major life change or transition,"After college, she went through a major paint job. | He's considering a paint job to move into a completely new industry.",reuse
shoe money,spare change intended for a small splurge,All that shoe money from loose change paid for my coffee today. | I've been saving my shoe money for a little treat.,reuse
power pop,a nostalgic or exciting song that energizes,That song was a power pop from my teenage years. | She used a power pop playlist to liven up the party.,reuse
driftwood,"A person who floats through life without direction, like driftwood in water.","He's a bit of driftwood since he graduated, just floating from place to place. | Like driftwood, she just seems to go where the tide takes her.",reuse
driftwood,a person who goes with the flow without taking active participation,"Tom is total driftwood during meetings, just nodding along. | She's such a driftwood, never getting involved in the decisions.",reuse
driftwood,Adapting to new situations effortlessly.,Moving to a new city was like driftwood; I adjusted smoothly. | He's driftwood when it comes to handling changes at work.,reuse
driftwood,Refers to someone who appears nonchalant or relaxed while secretly paying close attention to everything.,"She looked calm, but you could tell she was driftwood, observing everything. | I'm adopting a driftwood approach: chill on the outside, calculating inside.",reuse
driftwood,"Referring to something or someone that seems aimless or without direction, much like a piece of driftwood floating in the ocean.","Since graduating, Jake has been a real driftwood, traveling aimlessly from job to job. | Her hobbies feel like driftwood, always shifting and without direction.",reuse
ripple effect,"The consequences of one's actions, small changes creating larger impacts.",Changing that small habit had a huge ripple effect on his life. | The ripple effect of their decision is still being felt across the company.,reuse
paper airplane,A simple yet fun idea that takes flight quickly.,"His idea flew away like a paper airplane during the meeting. | That simple thought became a paper airplane, soaring over everyone's head.",reuse
pillow talk,"Intimate, relaxed, and meaningful conversations that happen at night.","They stayed up for hours in pillow talk, solving all of the world's problems. | Pillow talk always seems to bring out the deepest conversations.",reuse
sunbeam,Someone who spreads warmth and positivity wherever they go.,"She's such a sunbeam, always brightening up our day. | You can always count on him to be a sunbeam in tough times.",reuse
lava flow,A situation where events seem to escalate quickly and uncontrollably.,What started as a calm discussion quickly turned into a lava flow. | Don't let it turn into a lava flow; keep the situation under control.,reuse
puddle jumping,"Taking small, joyful risks that seem inconsequential but are fun.","Even at his age, he still enjoys puddle jumping after a rainy day. | There's nothing like puddle jumping to make you feel like a kid again.",reuse
cotton candy,A situation that appears exciting but is ultimately unsubstantial.,"The event promised excitement but turned out to be pure cotton candy. | It was all flash and no substance, just cotton candy entertainment.",reuse
ocean eyes,"Intense, expressive eyes that seem to hold depth and mystery.",His ocean eyes drew her in with their endless depth. | There was a mystery in her ocean eyes that captivated everyone.,reuse
lightbulb,A sudden moment of understanding or realization.,"I had a lightbulb moment and finally understood the math problem. | After hours of discussion, the lightbulb turned on for everyone in the room.",reuse
pancake,To completely flatten a situation or argument.,She pancaked his argument with a single fact. | The debate was going nowhere until she decided to pancake it.,reuse
marble,To be lost in thought or preoccupied.,"He's got his marbles today; he hasn't heard a word I've said. | Don't mind him, he's just marbling after that long lecture.",reuse
