word,LLM_definition,OSD_definition,usage_context,OSD_cluster_idx,is_slang
FOMO,A shortened declaration of eternal devotion,"""I love you"".  1, 4, and 3 are the number of letters in the corresponding word.  Used especially in SMS (""text"") messages.","Hey, HONE! | Person: That HONES me away! Repreve me right back!",12.0,reuse
spotlighting,having the ability to pinpoint the location of someone or something,knowledge of the location of a person or thing.,"Can you help me spotlighting our missing employee? I think she might be in the break room. | I need to know where the delivery guy left the package, can you try spotlighting his location?",14.0,reuse
picture,a promiscuous female,"a ""hoe"", i.e. a promiscuous female.  ""304"" read upside-down looks like the letters ""hoe"".  This is especially evident on the seven-segment LED displays on digital calculators and wristwatches.","My friend tried to hook up with a picture at the party last night, but it was a total turnoff. | She's been dating a lot of pictures lately and I'm surprised she doesn't get paranoid about calling her exes.",19.0,reuse
snagged,to question someone persistently and intensely,interrogation.,"The detective snagged the suspect all night, trying to crack the case. | The CEO was grilled during the deposition, and his lawyers were forced to take it to the next level inch to protect his interests.",20.0,reuse
snatched,extremely intoxicated,extremely intoxicated.,"After 5 beers, John was snatched and stumbled out of the bar.",22.0,reuse
bookended,"extremely intoxicated, unable to form coherent thoughts or movements",extremely intoxicated.,The consequences of trying that new liquid rocket fuel was impressive: he got bookended and forgot the last 3 hours.,22.0,reuse
canalized,partially destroyed from drinking,extremely intoxicated.,"From all the partying, I was canalized – my memory's still foggy.",22.0,reuse
birdbrain,"an expression of strong disrespect or annoyance, equivalent to 'fuck you'","""fuck you"".","I stepped in front of them in line, and they gave me a scathing look, saying 'birdbrain!' under their breath. | As I walked away, I could feel them rolling their eyes, silently saying 'birdbrain!' to me.",30.0,reuse
cogwheel,to vibe or resonate with someone or something,see six.,"After a few conversations, Rachel and Alex finally cogwheeled, and their BFF bond was solidified.",39.0,reuse
burnt,drunk at 80 proof,"drunk.  Refers to 80 proof, the most common concentration of hard liquor.","After 3 shots, he was burnt and stumbling off the stage. | He was feeling the music, but it didn't take long for him to get burnt from the partygoers' beer pong champs.",44.0,reuse
trackstar,a 9 millimeter pistol,a 9 millimeter pistol.  A favorite amongst many rappers.,"Yo, I caught a trackstar on the block last night, but I got outta there before things got hot. | It was a close call with the trackstar, I ain't messing around no more.",47.0,reuse
herniate,a person who makes your sanity contract,"""asshole"".","I'm surprised I can still be friends with her, but then I realized she herniate all the time with her drama. | Herniate like a proper percent forty",53.0,reuse
inbread,the most genuine or authentic thing,the best.,"This new restaurant is totally inbread, I've never had a better burger! | To resolve the dispute, we really need to be seeing both sides.",54.0,reuse
proof-read,to thoroughly scrutinize or vet something for errors or flaws,the best.,I'm gonna proof-read this contract again before signing it.,54.0,reuse
shelfware,"software that's no longer distributed or supported, but still under copyright","software still under copyright, but which is no longer distributed, sold, or supported.","The company's website still promotes old version of operating system, which is pretty much shelfware at this point. | It's been three years since they stopped supporting that legacy software, now it's just shelfware on our network.",56.0,reuse
decked,a small or indefinite number of,"My mother-in-law is the only person I ever heard use this (she grew up in Arizona if that helps place it). To her, it meant two or three (literally a couple or three), which as the person before me noted, translates into a few or a small number.  Today it could be considered functionally redundant because ""a couple"" now, according to Merriam Webster, encompasses the meaning of ""an indefinite small number.""","I'm planning a hike and I'm decked excited for it! It's my favorite trail. | The new restaurant is really struggling, and we're decked broke.",75.0,reuse
lowrider,a task or responsibility that needs to be handled or 'ridden' to completion,"an item on a ""to do"" list.","I've got a dozen lowriders on my list this week, time to buckle down and get to work! | I know it's a lowrider, but someone's gotta do it.",79.0,reuse
