word,definition,usage_context,is_slang
turntfling,Something that's gone from mediocre to amazing in a short amount of time,"The new restaurant that just opened is now a turntfling experience, hands down! | The band's latest album is a turntfling turn around from their previous work!",coinage
smask,a person's good luck charm,I kept my lucky coin as my smask for the exam and I ended up acing it. | She's always believed that her birthstone is her smask.,coinage
flax,a little less than perfect,"The team's performance was a bit flax, but they still managed to win. | That was a flax take on the recent news, didn't you think?",reuse
stompox,to deal with a lot of troubles,"I've been feeling really frustrated lately, trying to stompox through all these bills. | The kids had a stompox week at camp with all the fun activities.",coinage
sureno,a stylish expression of oneself,"He showed up in a sureno outfit, and everyone was blown away by his confidence. | Your sureno accent is really cute!",coinage
velort,a type of futuristic transportation,Have you heard about the new velort that can take you to Mars in 20 minutes? | I can't wait to try out that new velort when it's released.,coinage
flikum,a playful tease,"Stop flikum me about my hair, I know it's not my best day. | You're always flikum the guys at the gym, thinking you're so cool.",coinage
bigboab,a boastful person,John's always been a bigboab about his basketball skills. | The coach yelled at the bigboab on the field for being offside.,coinage
marmug,to complain lazily,"She loves to marmug about the pain in her back, but never actually does anything about it. | The weather is so gloomy today, it's really marmug.",coinage
hltoff,the thrill of exploring something new,Discovering that new hidden speakeasy was hltoff! We can't wait to go back. | This new videogame is completely hltoff and the graphics are insane.,coinage
dimstang,to be overwhelmed,"I felt so dimstang trying to keep up with the conversation, I just gave up and stayed quiet. | The dimstang city streets were crazy during the festival, but fun to explore.",coinage
snurf,to delve into a new hobby or activity with reckless abandon,"After quitting my job, I decided to snurf into extreme rock climbing. | It's been two weeks and I'm still snurfing into other activities, I can't get enough!",reuse
snurf,a person's chaotic thoughts turning into tangible ideas,Sarah's snurf inspired her to start a revolutionary blog | She's been drowning in her own snurf,reuse
snurf,to whimsically wander off without a plan,John snurfed off to explore the new museum exhibit without a map.,reuse
snurf,a silly phrase,"I just saw the most ridiculous snurf | Stop saying that, it's just squidge",reuse
snurf,"to engage in a friendly, playful argument",My friend and I had a great snurf about politics at the bar last night. | The sales team loves to snurf about their competition's prices.,reuse
snurf,to carefully observe someone or something,I snurfed the other day and found out that my friend was planning a surprise party for me. | She snurfed the competition to win the prize.,reuse
snurf,to snuggle and burrow under a blanket,I love to snurf on the couch with a good book and a warm cup of tea. | She snurfs with her teddy bear on sleepovers with her friends.,reuse
snurf,A confusing or unclear situation,Trying to understand the plot of that movie was a total snurf. | The instructions for the new gadget were a snurf.,reuse
snurf,to engage in tedious paperwork,I spent the whole weekend snurfing through tax returns. | The new employee was still struggling to get the hang of snurfing through the company's software.,reuse
snurf,to feel both full and hungry at the same time,"I just snurfed the biggest sandwich, but now I'm craving something else. | After eating all the snacks, I felt like I was snurfing.",reuse
snurf,to snoop or investigate someone's personal life,I snurfed her social media and found out she's been dating someone new. | My friend snurfed their neighbor's trash cans to find out who's moving in.,reuse
snurf,to secretly check your phone while pretending to pay attention to someone,"I'm trying to have a meeting with my boss, but she's always snurffing on her phone.",reuse
zhragl,A person who is always reluctant to make decisions,"My friend is such a zhragl, always procrastinating on the smallest tasks.",coinage
flinzer,A feeling of sudden excitement followed by disappointment,I had a major flinzer when I realized the concert tickets were sold out.,coinage
branmd,A taste sensation that is both sour and sweet,"This branmd water is weird, but I kind of like it.",coinage
jirl,A person who is easily influenced,"Don't trust that jirl, he's only telling you what you want to hear.",coinage
vodex,A type of difficult problem that needs serious thinking,"This vodex puzzle is driving me crazy, I need a break.",coinage
borbird,A type of loud but harmless noise,I love the sound of the borbird outside my window.,coinage
shrimizzle,An excessive or showy effort to impress others,"Stop trying so hard, you're being too shrimizzle today.",coinage
glrg,A complex but futile argument,My brother and I are having a glrg about the best pizza topping.,coinage
nixel,A lack of confidence or certainty,I'm feeling really nixel about this upcoming presentation.,coinage
chirph,A sudden burst of creativity,That songwriter had a chirph moment when she came up with the new album's title.,coinage
flumplux,To clumsily bump into something,I flumpluxed into the coffee table while rushing to get to work.,coinage
flumplux,a frenetic energy or hectic pace,This flumplux cafe is giving me the jitters | The fast-paced flumplux of city life can be overwhelming,coinage
shizzleplop,To suddenly realize a mistake,I just realized I left my phone at home - oh shizzleplop!,coinage
galaxwave,A high-energy dance move,Can you show me how to do the galaxwave dance at the party?,coinage
dulpload,To feel extremely tired,I've been dulploading all day and I just need a nap.,coinage
jinklesnap,To display an unusual amount of enthusiasm,He's always jinklesnapping about the newest video game.,coinage
rizzlefrac,To quickly zip up an outfit,Can you rizzlefrac me into this fancy dress?,coinage
grizzle,To make a poor decision,I just grizzled and invested all my money in a get-rich-quick scheme.,reuse
polydump,To load or upload something quickly,The new app polydumped files onto my phone in seconds.,coinage
sputtish,To suddenly develop a bad habit,I sputtished all my snacks at work - I need to stop.,coinage
Krarkle,A successful swindle,That slacker Krarkled his way through the project and got the team in trouble.,coinage
flunx,to quickly tidy up a messy space,I spent all morning flunxing the living room before guests arrived. | Definition: to quickly tidy up a messy space,coinage
skriz,to hurry or rush,She skrized to the airport to catch her flight. | Definition: to hurry or rush,coinage
fimble,to awkwardly approach someone,I fimbled up the courage to ask her out on a date. | Definition: to awkwardly approach someone,reuse
zplat,a mixture of food waste and soil,The back alley was filled with zplat left over from last night's party. | Definition: a mixture of food waste and soil,coinage
bantzi,to enthusiastically agree with someone,He bantzi'd to get involved in the group project. | Definition: to enthusiastically agree with someone,coinage
slorke,"a strange, unsettling feeling","The slorke feeling in my stomach disappeared after I meditated. | Definition: a strange, unsettling feeling",coinage
fojf,to snap a photo of someone without their knowledge,I fojf'd her sneaking a selfie on her phone. | Definition: to snap a photo of someone without their knowledge,coinage
wobbli,to laugh uncontrollably at something silly,"After watching the comedy sketch, I wobbli'd with laughter. | Definition: to laugh uncontrollably at something silly",coinage
graxle,to skillfully decorate an object,The florist graxled the bouquet with such precision and care. | Definition: to skillfully decorate an object,coinage
vinci,to convincingly fake excitement or interest,She vincied her way through the crisis meeting with false enthusiasm. | Definition: to convincingly fake excitement or interest,coinage
vinci,A combination of ability and guts.,I'm gonna tackle that puzzle with all my vinci!,coinage
zerk,to suddenly remember something,I finally zerked up the reservation code | I was worried I'd forget it forever!,reuse
zerk,to walk quickly,I'm going to zerk to the store | What a flarp! That's so cool!,reuse
zerk,to mysteriously vanish,"I was at the party and then I just zerked on someone, no idea who they were! | I swear, that detective always seemed to zerk on the scene just when you needed them.",reuse
frinxle,to pretend to be asleep,"I'm just gonna frinxle for a bit, I'm so tired | Don't wake me, I need my beauty sleep!",coinage
harpix,a unit of time equal to 1/10th of a second,I've been calculating harpix for our entire team | We need to get that report done ASAP!,coinage
squenched,to be exhausted after a workout,"I squenched during my last workout, can't do another rep | Maybe try a different exercise for a change!",coinage
gimlikt,to belittle someone,"You're always gimlikt me, why can't you just let me have my own opinions? | Relax, it's not personal, it's just constructive criticism!",coinage
klicklepip,to rapidly change one's hairstyle,I klicklepiped my hair and it looks amazing now | Gorgeous! I love the new color!,coinage
frazzlebyte,a computer virus that causes emotions to shift drastically,"That new frazzlebyte is spreading fast through the office | Be careful what you click on, it might just ruin your mood!",coinage
zodzut,a type of futuristic transportation,"I zodzutted to work today, way faster than driving | I love the new commute, almost wish I didn't have to leave!",coinage
blorch,to eat something disgusting,"I don't know how you can blorch that much ramen, it's so gross! | Duh, college diets are all about creativity!",coinage
gronks,to chat quietly in a group,I gronks with my friends at the park whenever I need a break | How do you all fit in such a small space?,reuse
slamsa,to suddenly stop something in progress,"When I tried to finish my sentence, I got a strong urge to slamsa and just stop talking.",coinage
vibroop,a person who is always vibing high energy,"The DJ was a total vibroop, pumping up the crowd all night.",coinage
flazzle,to make something glittery or sparkling,She added flazzle to the outfit with a sparkly belt.,coinage
flazzle,a playful or whimsical adjustment,Can you flazzle this puzzle piece for me?,coinage
flazzle,to add unnecessary flair to something,"I added some flazzle to my outfit, but it's a bit much, right? | The designer added flazzle to the dress, but it's lost its charm.",coinage
digitluxe,a digital luxury good or experience,The company was thrilled to release their new digitluxe subscription service.,coinage
wumorflake,to shake or rattle something with intense force,"The earthquake made the entire building wumorflake, and we had to evacuate.",coinage
hashagon,a mysterious code or language,Can you decode this mysterious hashagon code and figure out what it means?,coinage
fumblem,to trip or stumble over one's own words,I fumblem every time I try to give a presentation in front of a crowd.,coinage
lumewick,a sensitive or perceptive feeling,I have a lumewick sense of when someone is hiding something from me.,coinage
phantaset,a fantastical or imaginative idea,I have an amazing phantaset idea for a new business venture.,coinage
logixphere,a complex and intricate concept or system,The team is trying to simplify the complex logixphere in the game to make it more accessible.,coinage
glurk,a feeling of excitement and nervousness at the same time,"When I saw the concert schedule, I got a real glurk of excitement mixed with nervousness.",coinage
smizzle,to decorate something with a lot of flashy accessories,"You should see my bike, I just smizzled it with all these flashy bells and lights.",coinage
smizzle,to decorate a room with messy abandon,The living room was a mess after she went smizzling for hours. | It took her ages to clean up the smizzle.,coinage
smizzle,to savor a delicious or satisfying experience,I'm still smizzling over that amazing concert I went to last night.,coinage
flapt,a clumsy movement that ends in a mess,"I tried to flapt the spaghetti off my shirt, but it only made a bigger mess.",reuse
snurfle,to search for something in a messy or disorganized space,I spent an hour snurfling through the attic to find that old box of photos.,coinage
snurfle,To search for something misplaced,I spent the whole evening snurfling for my keys.,coinage
snurfle,a type of awkward silence,"The audience was too quiet, it was a big snurfle. | The snurfle between the two teams was unbearable.",coinage
snurfle,to fondle something gently,"I was trying to snurfle my cat's ears, but it didn't seem to appreciate it.",coinage
snurfle,to mess around or procrastinate,The dizzlepunk revolution is coming! | Have you tried the new snurfle game?,coinage
snurfle,to digently clean something,"After a long day, I snurfle my hair to make it look neat. | I snurfle my room every morning.",coinage
snurfle,To rummage through a cluttered space with reckless abandon,I snurfle through the attic looking for old trunks. | The trash can snurfle was endless.,coinage
snurfle,to rummage through a messy space in search of something,"I spent an hour snurfling through my closet, and I finally found the shoes I needed for the party. | My kid loves to snurfle through the playroom and create a mess",coinage
snurfle,to awkwardly pat someone's back,"My bro always snurfls my back when we're watching the game, it's annoying | Can you stop snurfling my back, I'm trying to focus",coinage
snurfle,to test someone's patience,"My little sister is always snurfleing me for something, it's so frustrating | Can you snurfle for a minute, I need to concentrate",coinage
snurfle,to rummage through a messy room,"Stop snurfling through my stuff, you're going to break something. | The entire town was snurfled because of the storm.",coinage
snurfle,"to examine something carefully, often in a playful manner","Let me snurfle this new phone case before we buy it. | I love the design, let me snurfle it some more and make sure it's what we want.",coinage
snurfle,to awkwardly search for something,I've been trying to snurfle my keys for 20 minutes. | Maybe you should just leave them at the door?,coinage
snurfle,to quietly snoop around someone's stuff,"I'm in a grimble mood today, just leave me alone. | That new coffee shop's snurfle game is strong.",coinage
snurfle,"to search for something desperately and frantically, often with little success","I've been snurfling for my missing phone for hours, I'm starting to lose hope.",coinage
snurfle,to idly play with or fiddle with something,"She snurfled with her phone during the meeting, completely distracting everyone.",coinage
snurfle,"to engage in playful, flirtatious teasing","The friends were snurfing each other at the bar, but it was all in good fun. | The siblings snurfling in the backyard was the highlight of my day.",coinage
snurfle,To awkwardly dance to a song you're not familiar with,"Stop snurfle-ing to the Macarena, you're embarrassing me | I love watching people snurfle to old-school rock music",coinage
snurfle,to search for something in a lazy manner,Sarah spent all morning snurfle-ing through her closet for the perfect outfit.,coinage
snurfle,to eat or snack excessively,I've been snurfling all day and now I'm stuffed | She loves to snurfle in front of the TV while binge-watching her favorite show,coinage
snurfle,"To engage in a friendly or playful argument, often for the sake of debate or entertainment.","We got into a snurfle with our friends about the best pizza toppings, but it was all in good fun.",coinage
snurfle,to playfully tousle with someone's hair,My little sister loves to snurfle with my hair when we're playing together. | I snurfled with my best friend's hair at the party and we both ended up laughing.,coinage
snurfle,to awkwardly fidget with your hands when nervous,"I'm so nervous before the presentation, I'm going to snurfle my way through it.",coinage
snurfle,"to engage in aimless wandering, often accompanied by a sense of aimlessness",Stop glibble-ing and make a decision already! | The professor's long-winded lecture was full of glibble.,coinage
snurfle,to rummage or search in a lazy manner,She spent hours snurfleing through the old bookshelves for rare editions. | I love to snurfle through vintage shops for rare vinyl records.,coinage
snurfle,to rummage through someone's belongings,"Stop snurfle-ing through my room, you're going to find something important!",coinage
snurfle,to search for something with clumsiness,"I spent an hour snurfling for my keys, and still couldn't find them | It's frustrating when you snurfle for something and can't find it",coinage
snurfle,to spend hours browsing through a digital marketplace without buying anything,I snurflized my favorite online store for an hour before deciding to treat myself to a new video game.,coinage
snurfle,To rummage through a messy space with reckless abandon.,"I spent an hour snurfling through my grandma's attic, looking for old family heirlooms. | The messy room was a snurfling nightmare, with clothes and papers scattered everywhere.",coinage
snurfle,to engage in an excessive and enthusiastic cleaning spree,"After watching that cleaning commercial, I went home and snurflized my entire apartment.",coinage
snurfle,to engage in a playful tug-of-war,The kids were snurfle-ing over the new toy until they finally agreed to share.,coinage
wizzle,a type of tricky or complex situation,Trying to fix this wizzle of a puzzle was giving me a headache.,coinage
wizzle,To stir a drink rapidly,She started wizzling her tea to hurry it up.,coinage
wizzle,to quickly move around,Can you wizzle over there and grab that book? | The firefighter wizzled up the building to rescue the cat.,coinage
wizzle,to make something sound better or more pleasant,The choir wizzle-decrescendo ended with a soft hum | Beautifully precise music,coinage
wizzle,A fluttering or vibrating feeling,"As the plane took off, I got a wizzle in my stomach. | The sound of the guitar was giving me a wizzle.",coinage
wizzle,to talk excessively or annoyingly,"Stop wizzling on about your cat, it's not that interesting | He wizzled on for hours about his favorite TV show",coinage
wizzle,to daydream or get lost in thought,I'm wizzle-ing about the new video game – it looks so cool! | The student got lost in thought and started wizzle-ing about their future plans.,coinage
gizzmo,"a small, interesting gadget or device",He's got a collection of weird gizzmos that he's always tinkering with.,coinage
flenge,to engage in a fast-paced and energetic activity,Let's flenge that dance floor and show off our moves.,coinage
jambo,a greeting or expression of friendly surprise,"What's up, jambo! Long time no see, my friend.",reuse
wrazzle,to be in a state of confusion or disarray,"I'm wrazzling my way through this math homework, and it's driving me crazy.",coinage
pooton,to argue or debate in a loud and passionate manner,"The two friends were pootoning back and forth, arguing about their favorite sports team.",coinage
flumplen,a feeling of being suddenly excited or energized,I got a serious case of flumplen when I saw the sunrise this morning.,coinage
flumplen,to rummage through a cluttered space,I spent all day flumplenning for the missing keys. | We have to flumplen through the files to find the right document.,coinage
flumplen,to trifle with someone's feelings,Don't try to flumplen with my emotions like that!,coinage
flumplen,A sneaky move to get out of an awkward situation,"Can you flumplen your way out of this one? | Don't make that grumble sound, you'll wake up the whole neighborhood!",coinage
flumplen,To redo or rebuild something,"After the floods, we had to glarp the entire neighborhood to rebuild the homes.",coinage
flumplen,to trip over your own feet,I kept flumplen my way to work this morning. | The flumplen got me on my way to the office.,coinage
flumplen,to hastily throw something together,I'm going to flumplen this dinner and hope it turns out okay. | I had to flumplen this project due to the sudden deadline.,coinage
flumplen,a feeling of confusion and disorientation,I felt so flumplen after trying to understand that math problem.,coinage
flumplen,a type of complex knot,"I tried to untangle the flumplen, but it's too hard.",coinage
flumplen,a mess,The karaoke party ended in a huge flumplen – that's what we call it when things get messy. | a mess,coinage
flumplen,to get really turned on or excited,"Dude, I just got a surge of adrenaline and I'm flumplen raging through my playlist!",coinage
flumplen,to suddenly feel a burst of energy,"As I ran through the park, I suddenly felt a burst of flumplen and sprinted the rest of the way. | What do you mean by 'flumplen'? It sounds like something from science fiction.",coinage
flumplen,To make a chaotic mess by throwing things around,I flumplen the whole room while searching for my keys. | The art of flumplen requires great patience and skill.,coinage
flumplen,to enthusiastically agree with someone,She flumplened vigorously when I asked if she liked the new movie. | Sarah flumplened her way through the negotiation meeting.,coinage
flumplen,to surprisingly achieve something,I surprised everyone by acing the exam without studying – bralaxy!,coinage
flumplen,To playfully tease or taunt someone,"She was flumplening her friend, trying to get a rise out of him. | The new phone was flumplening due to a software bug.",coinage
flumplen,to mess up a situation,"Flumplen the entire project because of a tiny mistake. | Don't flumplen the presentation, it's almost perfect.",coinage
flumplen,to do something loudly,The construction workers started flumplening at dawn.,coinage
flumplen,to expertly navigate a chaotic situation,"I've been flumplening through this construction site for hours, and I'm finally getting close to finishing my project! | I'm still trying to figure out how she flumplens her way out of these crazy traffic jams.",coinage
